Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Vendor,Part Name,digikeypn,Manufacturer,Comments,Field4,Field6,Field5
23,,"NX7002AK,215",Q_HSCAN_1 Q_J1850_1 Q_J1850_2 Q_J1850_4 Q_PS_1,"NX7002AK,215",SOT95P230X110-3N,5,https://assets.nexperia.com/documents/data-sheet/NX7002AK.pdf,DigiKey Canada,"NX7002AK,215",1727-1289-1-ND,Nexperia USA Inc.,,Nexperia,IPC-7351B,7
24,,IRLML5103TRPBF,Q_PS_2 Q_PS_3 Q_PS_4,"NX7002AK,215",SOT95P230X110-3N,3,https://assets.nexperia.com/documents/data-sheet/NX7002AK.pdf,DigiKey Canada,"NX7002AK,215",1727-1289-1-ND,Nexperia USA Inc.,,,,
25,,RSC002P03T316,Q_J1850_3,RSC002P03T316,RSC002P03T316,1,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/rsc002p03-e.pdf,DigiKey Canada,RSC002P03T316,RSC002P03T316CT-ND,Rohm Semiconductor,,,,
26,Resistor,R,R_STN_12,10,RESC1608X55N,1,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_6.pdf,DigiKey Canada,RE0603FRE0710RL,13-RE0603FRE0710RLCT-ND,Yageo,,,,
27,"Resistor, small symbol",R_Small,R_HSCAN_2 R_HSCAN_3,100,RESC3216X70N,2,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Canada,ERJ-8ENF1000V,P100FCT-ND,Panasonic Electronic Components,,,,
28,"Resistor, small symbol",R_Small,R_J1850_6,240,RESC3216X70N,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Canada,ERJ-8ENF2400V,P240FCT-ND,Panasonic Electronic Components,,,,
29,"Resistor, small symbol",R_Small,R_STN_1 R_STN_2 R_STN_3,330,RESC3216X70N,3,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Canada,ERJ-8ENF3300V,P330FCT-ND,Panasonic Electronic Components,,,,
30,"Resistor, small symbol",R_Small,R_J1850_4,374,RESC3216X70N,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Canada,ERJ-8ENF3740V,P374FCT-ND,Panasonic Electronic Components,,,,
31,"Resistor, small symbol",R_Small,R_ESP_2 R_ESP_3 R_ESP_5 R_STN_10,500,RESC1508X55N,4,https://www.vishay.com/docs/28916/mcxhp.pdf,DigiKey Canada,MCT0603PD4990DP500,749-1523-1-ND,Vishay,,,,
32,"Resistor, small symbol",R_Small,R_J1850_3,866,RESC3216X70N,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,DigiKey Canada,ERJ-8ENF8660V,P866FCT-ND,Panasonic Electronic Components,,,,
33,"Resistor, small symbol",R_Small,R_ISO_1 R_ISO_2 R_STN_4,1k,RC1608F102CS,3,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC_Series_ds.pdf,DigiKey Canada,RC1608F102CS,1276-3484-1-ND,Samsung Electro-Mechanics,,,,
34,"Resistor, small symbol",R_Small,R_J1850_2 R_STN_7 R_STN_8,1.5k,RESC1607X60N,3,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,DigiKey Canada,RC0603FR-071K5L,311-1.50KHRCT-ND,Yageo,,,,
35,"Resistor, small symbol",R_Small,R_COMP_8,2.7k,RESC1608X55N,1,https://www.vishay.com/docs/28773/crcwce3.pdf,DigiKey Canada,CRCW06032K70FKEAC,541-5328-1-ND,Vishay Dale,,,,
36,"Resistor, small symbol",R_Small,R_IMU_1 R_IMU_2,4.7k,RESC1608X55N,2,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,DigiKey Canada,RT0603DRD074K7L,311-4.7KDCT-ND,Yageo,,,,
